Muestra,Localidad,Utilidad,Donado,Id,Tipo,URL
Galena,"Asignación Socorro, Izucar de Matamoros, Puebla",Mena del Plomo,,84,Sulfuros,image312.png
Galena,,Principales menas del plomo,,84,Sulfuros,image313.png
Galena ,Zimapan,Principales menas de Pb,,84,Sulfuros,image314.png
"Galena , Blenda, Pirita, Pirargirita","""La encantada"", Coahuila",,,84,Sulfuros,image315.png
Galena Argentifena,"Minas el Bote, Zacatecas",Principales menas de Plomo,,84,Sulfuros,image316.png
Galena Argentifera,,"Mena de plomo, Esmalte para vasijas ceramicas",,84,Sulfuros,image317.png
Galena Argentifera,Topia Durango,,,84,Sulfuros,image318.png
Galena Esferulita,,Mena de pb,,84,Sulfuros,image319.png
"Galena Zimapan, Hidalgo","Zimapan, Hidalgo",Mena de pd,,84,Sulfuros,image320.png
"Galena, Cuarzo",,"Mena de pb, Ornamental",,84,Sulfuros,image321.png
"Galena, Cuarzo","Topia, Durango","Importantes menas de Plomo, piedra de colección",,84,Sulfuros,image322.png
"Galena, Esfalerita",,Mena de plomo,,84,Sulfuros,image323.png
"Galena, Esfalerita, Calcita","Naica, Chihuahua",,,84,Sulfuros,image324.png
"Galena, Pirita, Calcita, S/ Dolomita","Nalca, Chihuahua",,,84,Sulfuros,image325.png
"Galena, Pirita,Calcopirita","Sombrerete, Zacatecas",Mena de plomo,,84,Sulfuros,image326.png
Galena-Cuarzo-Plata,,70% Industrial 30% Monetario,,84,Sulfuros,image327.png
Galena-Pirrotita,"Charcas, San Luis Potosi",Una de las principales menas de Plomo.,,84,Sulfuros,image328.png
Geoda ,Sonora,Decoración,,85,,image329.png
Geoda de Cuarzos,Ornamentacion ,,,85,,image330.png
"Goethita, Calcita","La Perla, Chihuahua","Mena de Hierro, construcción de edificaciones",,86,,image331.png
Grafito,"Telixtiahuca, Oaxaca",,,87,Silicatos,image332.png
Grafito,,,,87,Silicatos,image333.png
Grafito,,Fabricacion de lapices y ladrillos,,87,Silicatos,image334.png
Grafito,,Punta de los lápices, ,87,Silicatos,image335.png
Grafito (c),"Colombo, Isla de Ceilan, Asia",,,87,Silicatos,image336.png
Gramo-diorita de biotita,Jilotlan Jalisco,,,88,Silicatos,image337.png
Granate,"Tronco de Peras, Puebla",,,89,Silicatos,image338.png
"Granate ""Piropo""",Baja California ,,ing. Fernando Rodriguez,89,Silicatos,image339.png
Granate granular con Pirita y Galena ,,,,89,Silicatos,image340.png
Granates,Sierra de Cruces,,,89,Silicatos,image341.png
Grandiorita de Hornblenda,"Guanario, Michoacán",,,90,,image342.png
Granito,Carretere Tonala Chiapas,,,91,Ignea,image343.png
Granito,"Río grande de santiago, Nayarit",,,91,Ignea,image344.png
